Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Element Code,Element,ISO Currency Code,Currency,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,,,,,,#date+year,,,#indicator+type,#indicator+value+num,
UKR,1999-04-01,1999-04-30,230,'804,Ukraine,LCU,Local currency units per USD,UAH,Hryvnia,1999,1999,7004,April,,3.933700000000,X
UKR,1999-05-01,1999-05-31,230,'804,Ukraine,LCU,Local currency units per USD,UAH,Hryvnia,1999,1999,7005,May,,3.923500000000,X
UKR,1999-06-01,1999-06-30,230,'804,Ukraine,LCU,Local currency units per USD,UAH,Hryvnia,1999,1999,7006,June,,3.949600000000,X
UKR,1999-07-01,1999-07-31,230,'804,Ukraine,LCU,Local currency units per USD,UAH,Hryvnia,1999,1999,7007,July,,4.004400000000,X
UKR,1999-08-01,1999-08-31,230,'804,Ukraine,LCU,Local currency units per USD,UAH,Hryvnia,1999,1999,7008,August,,4.460500000000,X
UKR,1999-09-01,1999-09-30,230,'804,Ukraine,LCU,Local currency units per USD,UAH,Hryvnia,1999,1999,7009,September,,4.455900000000,X
UKR,1999-10-01,1999-10-31,230,'804,Ukraine,LCU,Local currency units per USD,UAH,Hryvnia,1999,1999,7010,October,,4.467300000000,X
UKR,1999-11-01,1999-11-30,230,'804,Ukraine,LCU,Local currency units per USD,UAH,Hryvnia,1999,1999,7011,November,,4.630600000000,X
UKR,1999-12-01,1999-12-31,230,'804,Ukraine,LCU,Local currency units per USD,UAH,Hryvnia,1999,1999,7012,December,,5.069100000000,X
UKR,2000-01-01,2000-12-31,230,'804,Ukraine,LCU,Local currency units per USD,UAH,Hryvnia,2000,2000,7021,Annual value,,5.440233333300,X
UKR,2000-01-01,2000-01-31,230,'804,Ukraine,LCU,Local currency units per USD,UAH,Hryvnia,2000,2000,7001,January,,5.381100000000,X
UKR,2000-02-01,2000-02-29,230,'804,Ukraine,LCU,Local currency units per USD,UAH,Hryvnia,2000,2000,7002,February,,5.543100000000,X
UKR,2000-03-01,2000-03-31,230,'804,Ukraine,LCU,Local currency units per USD,UAH,Hryvnia,2000,2000,7003,March,,5.468000000000,X
UKR,2000-04-01,2000-04-30,230,'804,Ukraine,LCU,Local currency units per USD,UAH,Hryvnia,2000,2000,7004,April,,5.422800000000,X
UKR,2000-05-01,2000-05-31,230,'804,Ukraine,LCU,Local currency units per USD,UAH,Hryvnia,2000,2000,7005,May,,5.404100000000,X
UKR,2000-06-01,2000-06-30,230,'804,Ukraine,LCU,Local currency units per USD,UAH,Hryvnia,2000,2000,7006,June,,5.436000000000,X
UKR,2000-07-01,2000-07-31,230,'804,Ukraine,LCU,Local currency units per USD,UAH,Hryvnia,2000,2000,7007,July,,5.438600000000,X
UKR,2000-08-01,2000-08-31,230,'804,Ukraine,LCU,Local currency units per USD,UAH,Hryvnia,2000,2000,7008,August,,5.438500000000,X
